AnomalyYear,EqID,Month,Day,Imax,ImaxNum,MDPs,MinDistKm,InDBMI15
1285,12851213_0000_000,12.0,13.0,7,7.0,2.0,282.3935562978776,YES
1319,,,,,,,,NO
1342,,,,,,,,NO
1376,13760312_0115_000,3.0,12.0,6-7,6.5,1.0,307.3107999289525,YES
1376,13760315_0000_000,3.0,15.0,5-6,5.5,1.0,307.3107999289525,YES
1394,,,,,,,,NO
1401,14010629_0900_000,6.0,29.0,5,5.0,1.0,386.2383351741135,YES
1429,14290626_0000_000,6.0,26.0,5,5.0,1.0,267.36572148963563,YES
1429,14291110_1620_000,11.0,10.0,6-7,6.5,1.0,902.66169165448,YES
1545,15450609_1545_000,6.0,9.0,7-8,7.5,5.0,130.88286927226483,YES
1545,15451116_0000_000,11.0,27.0,7-8,7.5,6.0,267.36572148963563,YES
1545,15451128_0000_000,11.0,28.0,5,5.0,1.0,303.62599000530787,YES
1545,15451129_0000_000,11.0,29.0,5,5.0,1.0,303.62599000530787,YES
1574,15740317_0340_000,3.0,17.0,7,7.0,4.0,257.58929403674523,YES
1599,15990800_0000_000,8.0,,7,7.0,2.0,902.66169165448,YES
1599,15991106_0125_000,11.0,6.0,9,9.0,20.0,350.11792075863076,YES
1599,15991116_0000_000,11.0,16.0,7,7.0,2.0,284.20878232085073,YES
1602,,,,,,,,NO
1613,16130825_0500_000,8.0,25.0,9,9.0,2.0,865.8693862120285,YES
1641,16410608_0000_000,6.0,8.0,6,6.0,1.0,136.7456990326313,YES
1649,16490100_0000_000,1.0,,6-7,6.5,2.0,902.66169165448,YES
1656,16560600_0000_000,6.0,,7-8,7.5,1.0,856.4608509025663,YES
1656,16561017_0000_000,10.0,17.0,HF,5.1,2.0,686.5536845987882,YES
1710,17101213_2100_000,12.0,13.0,6,6.0,2.0,847.0419362890702,YES
1714,17140000_0000_002,,,7-8,7.5,1.0,392.79836049101937,YES
1714,17140800_0000_000,8.0,,6-7,6.5,3.0,647.6121892889186,YES
1759,17590000_0000_001,8.0,,5-6,5.5,1.0,469.90530975222947,YES
1759,17590318_0000_000,3.0,18.0,5,5.0,1.0,218.14162324534388,YES
1759,17590520_0000_000,5.0,20.0,5,5.0,1.0,744.1130424995001,YES
1759,17590526_2215_000,5.0,26.0,5-6,5.5,4.0,64.19405034379554,YES
1759,17590614_0000_000,6.0,14.0,5-6,5.5,2.0,356.4075818004771,YES
1759,17591005_0100_000,10.0,5.0,5-6,5.5,2.0,543.7084915602019,YES
1762,17620415_1800_000,4.0,15.0,7,7.0,12.0,247.90330681598167,YES
1762,17620418_1130_000,4.0,18.0,F,3.9,1.0,458.6963621007231,YES
1762,17620723_0000_000,7.0,23.0,6-7,6.5,1.0,600.6425392203821,YES
1762,17621006_1210_000,10.0,6.0,9,9.0,13.0,427.06016303728484,YES
1765,17650512_0000_000,5.0,12.0,7-8,7.5,3.0,543.7084915602019,YES
1774,17740131_0000_000,1.0,31.0,7,7.0,3.0,304.6258133857232,YES
1774,17740304_0000_000,3.0,4.0,6,6.0,2.0,184.7569535779271,YES
1774,17740331_1510_000,3.0,31.0,6,6.0,6.0,213.54707340602278,YES
1774,17740515_0000_000,5.0,15.0,6,6.0,1.0,308.9943399636035,YES
1786,17860115_0000_000,1.0,15.0,7,7.0,1.0,362.0929128504026,YES
1786,17860117_0000_000,1.0,17.0,6,6.0,4.0,357.2837796262166,YES
1786,17860223_0740_000,2.0,23.0,5,5.0,1.0,895.1500846181324,YES
1786,17860310_1410_000,3.0,10.0,9,9.0,10.0,865.8693862120285,YES
1786,17860407_0025_000,4.0,7.0,7-8,7.5,10.0,156.48064832719277,YES
1786,17860731_0000_000,7.0,31.0,7,7.0,7.0,413.75330434305687,YES
1786,17861124_0645_000,11.0,24.0,6,6.0,26.0,26.357886889016058,YES
1786,17861225_0100_000,12.0,25.0,8,8.0,90.0,64.19405034379554,YES
1786,17861228_0000_000,12.0,28.0,F,3.9,1.0,458.6963621007231,YES
1796,17960205_0200_000,2.0,5.0,7,7.0,9.0,247.90330681598167,YES
1796,17960318_1630_000,3.0,18.0,8,8.0,1.0,600.6425392203821,YES
1796,17961022_0400_000,10.0,22.0,7,7.0,27.0,64.19405034379554,YES
1816,,,,,,,,NO
1900,19000129_0422_000,1.0,29.0,5-6,5.5,13.0,496.5916238130744,YES
1900,19000304_1655_000,3.0,4.0,6-7,6.5,98.0,204.4320043168764,YES
1900,19000405_2227_000,4.0,5.0,5-6,5.5,24.0,31.453303020873744,YES
1900,19000422_0000_000,4.0,22.0,5,5.0,4.0,29.39727923753238,YES
1900,19000510_0800_000,5.0,10.0,5-6,5.5,16.0,31.453303020873744,YES
1900,19000518_0124_000,5.0,18.0,5,5.0,7.0,271.88483637074586,YES
1900,19000519_1655_000,5.0,19.0,7,7.0,13.0,397.72128276104564,YES
1900,19000810_0428_000,8.0,10.0,5,5.0,15.0,434.71440564126675,YES
1900,19000811_1900_000,8.0,11.0,5,5.0,1.0,381.4726798565956,YES
1900,19000816_2100_000,8.0,16.0,6,6.0,3.0,146.89877906886068,YES
1900,19000828_1638_000,8.0,28.0,5,5.0,3.0,247.5457434162272,YES
1900,19001223_2230_000,12.0,23.0,5,5.0,20.0,605.476139630526,YES
1900,19001229_0007_000,12.0,29.0,5-6,5.5,13.0,481.68076367515624,YES
1900,19001230_2336_000,12.0,30.0,5,5.0,36.0,9.06643441508124,YES
1925,19250308_1546_000,3.0,8.0,7,7.0,15.0,841.1499157064753,YES
1925,19250315_1715_000,3.0,15.0,4-5,4.5,16.0,140.5838001994921,YES
1925,19250321_0733_000,3.0,21.0,5-6,5.5,17.0,220.60413648197294,YES
1925,19250704_1748_000,7.0,4.0,5,5.0,12.0,368.4032980638359,YES
1925,19250706_0636_000,7.0,6.0,5,5.0,6.0,914.4169745822879,YES
1925,19250720_1503_000,7.0,20.0,4-5,4.5,7.0,151.72464439522852,YES
1925,19250721_1202_000,7.0,21.0,5,5.0,29.0,249.05080733048385,YES
1925,19250728_0333_000,7.0,28.0,6,6.0,6.0,637.8903904317916,YES
1925,19250821_1911_000,8.0,21.0,6,6.0,14.0,861.2265621938639,YES
1925,19250825_0510_000,8.0,25.0,6,6.0,14.0,633.0487567548317,YES
1925,19250903_1855_000,9.0,3.0,5-6,5.5,5.0,302.57847611541024,YES
1925,19250924_1333_000,9.0,24.0,7-8,7.5,50.0,427.06016303728484,YES
1926,19260101_1804_000,1.0,1.0,7-8,7.5,63.0,64.19405034379554,YES
1926,19260108_0914_000,1.0,8.0,7,7.0,24.0,267.36572148963563,YES
1926,19260628_2115_000,6.0,28.0,4,4.0,3.0,184.7569535779271,YES
1926,19260817_0142_000,8.0,17.0,7-8,7.5,35.0,796.0425647346987,YES
1926,19261118_2257_000,11.0,18.0,5-6,5.5,17.0,91.79191090668142,YES
1926,19261218_2107_000,12.0,18.0,6,6.0,24.0,451.7805862424137,YES
1928,19280202_1443_000,2.0,2.0,5-6,5.5,3.0,852.8014106131457,YES
1928,19280207_2300_000,2.0,7.0,5,5.0,29.0,210.49156590019203,YES
1928,19280221_0437_000,2.0,21.0,6,6.0,8.0,91.79191090668142,YES
1928,19280307_1055_000,3.0,7.0,8,8.0,30.0,832.4895951566501,YES
1928,19280327_0832_000,3.0,27.0,9,9.0,359.0,198.18654064552112,YES
1928,19280421_1356_000,4.0,21.0,6-7,6.5,3.0,290.5016283464328,YES
1928,19280530_2001_000,5.0,30.0,5,5.0,17.0,348.87432662277155,YES
1928,19280613_0800_000,6.0,13.0,7,7.0,35.0,104.99035915075117,YES
1928,19280720_1953_000,7.0,20.0,6,6.0,13.0,91.79191090668142,YES
1928,19280725_0125_000,7.0,25.0,5,5.0,3.0,224.0979323943156,YES
1928,19280802_0842_000,8.0,2.0,5-6,5.5,1.0,453.5701904573345,YES
1928,19280803_2309_000,8.0,3.0,5-6,5.5,21.0,129.26992413877497,YES
1928,19280903_0140_000,9.0,3.0,5-6,5.5,1.0,909.5422643505007,YES
1928,19281116_0317_000,11.0,16.0,6,6.0,10.0,413.15078655545125,YES
1928,19281230_1634_000,12.0,30.0,5,5.0,8.0,224.6241128592214,YES
1933,19330204_0104_000,2.0,4.0,5,5.0,3.0,905.2894493313325,YES
1933,19330226_0248_000,2.0,26.0,5-6,5.5,11.0,829.083871152318,YES
1933,19330307_1439_000,3.0,7.0,6,6.0,42.0,605.8393063636191,YES
1933,19330919_0346_000,9.0,19.0,6-7,6.5,17.0,126.60543621653972,YES
1933,19330926_0333_000,9.0,26.0,9,9.0,325.0,357.0734599735329,YES
1933,19331019_1329_000,10.0,19.0,5-6,5.5,4.0,228.44640796877556,YES
1938,19380215_0232_000,2.0,15.0,6,6.0,52.0,121.07797031904973,YES
1938,19380707_0748_000,7.0,7.0,5,5.0,7.0,376.7020403791608,YES
1938,19380714_1957_000,7.0,14.0,5,5.0,10.0,404.92060595378075,YES
1938,19380718_0057_000,7.0,18.0,7,7.0,381.0,58.831996607097814,YES
1938,19380812_0228_000,8.0,12.0,6,6.0,55.0,352.7620608387469,YES
1938,19380923_0151_000,9.0,23.0,5,5.0,6.0,150.31493792135166,YES
1938,19381210_0310_000,12.0,10.0,5,5.0,5.0,121.32575937096135,YES
1938,19381223_1737_000,12.0,23.0,6,6.0,28.0,112.5134803147703,YES
1942,19420620_1442_000,6.0,20.0,6,6.0,2.0,289.6512718301933,YES
1942,19421115_1629_000,11.0,15.0,6-7,6.5,3.0,923.6140786737988,YES
1944,,,,,,,,NO
