year_CE,d18O,z_score
22.4,-4.6600,-2.56
51.2,-4.5100,-2.14
196.8,-2.9600,2.22
197.9,-2.9800,2.16
199.6,-3.0200,2.05
353.1,-4.5100,-2.14
362.1,-4.6300,-2.48
423.6,-2.9900,2.13
498.5,-4.5800,-2.34
499.2,-4.6200,-2.45
499.9,-4.5500,-2.25
500.6,-4.5800,-2.34
501.3,-4.7500,-2.81
502.0,-4.6600,-2.56
502.7,-4.5200,-2.17
503.4,-4.6700,-2.59
504.1,-4.5700,-2.31
504.8,-4.4900,-2.08
505.5,-4.7400,-2.79
510.4,-4.6000,-2.39
530.7,-4.5600,-2.28
531.4,-4.5700,-2.31
589.9,-4.5000,-2.11
591.5,-4.5700,-2.31
592.4,-4.5200,-2.17
593.2,-4.5000,-2.11
593.6,-4.5000,-2.11
594.0,-4.4900,-2.08
594.4,-4.5900,-2.36
594.8,-4.6100,-2.42
617.4,-4.4700,-2.03
617.8,-4.4800,-2.05
619.0,-4.5100,-2.14
619.4,-4.7500,-2.81
619.8,-4.6500,-2.53
620.2,-4.5600,-2.28
620.6,-4.5100,-2.14
621.8,-4.5500,-2.25
622.2,-4.5700,-2.31
622.6,-4.5600,-2.28
623.4,-4.4700,-2.03
624.2,-4.5400,-2.22
624.6,-4.6300,-2.48
625.0,-4.7900,-2.93
625.4,-4.7300,-2.76
625.9,-4.5600,-2.28
626.3,-4.6200,-2.45
626.7,-4.8400,-3.07
627.1,-4.6300,-2.48
627.5,-4.7600,-2.84
627.9,-4.6700,-2.59
628.3,-4.5700,-2.31
628.7,-4.6300,-2.48
629.5,-4.5200,-2.17
632.3,-4.5100,-2.14
632.7,-4.6700,-2.59
633.1,-4.8100,-2.98
633.5,-4.7100,-2.70
633.9,-4.8700,-3.15
634.4,-4.7500,-2.81
634.8,-4.8100,-2.98
635.2,-4.7700,-2.87
635.6,-4.7700,-2.87
636.0,-4.6000,-2.39
636.4,-4.5800,-2.34
636.8,-4.5600,-2.28
637.2,-4.5200,-2.17
637.6,-4.5200,-2.17
651.0,-4.5400,-2.22
651.4,-4.4800,-2.05
651.8,-4.4700,-2.03
652.2,-4.4700,-2.03
653.5,-4.7000,-2.67
653.9,-4.7300,-2.76
654.3,-4.6000,-2.39
654.7,-4.6500,-2.53
655.1,-4.6300,-2.48
655.5,-4.4700,-2.03
655.9,-4.8100,-2.98
656.3,-4.7900,-2.93
656.7,-4.8100,-2.98
657.1,-4.7700,-2.87
657.5,-5.0400,-3.63
657.9,-4.8600,-3.12
658.3,-4.7400,-2.79
658.8,-4.5400,-2.22
659.2,-4.7400,-2.79
659.6,-4.7200,-2.73
660.0,-4.7600,-2.84
660.4,-4.7400,-2.79
660.8,-4.7300,-2.76
661.2,-4.7800,-2.90
661.6,-4.7900,-2.93
662.0,-4.7200,-2.73
662.4,-4.7400,-2.79
662.8,-4.5500,-2.25
663.2,-4.4800,-2.05
698.0,-4.5100,-2.14
699.0,-4.6000,-2.39
701.4,-4.5700,-2.31
702.0,-4.6000,-2.39
709.5,-4.5200,-2.17
710.3,-4.6400,-2.50
710.6,-4.5000,-2.11
710.9,-4.5000,-2.11
711.4,-4.5400,-2.22
711.7,-4.4900,-2.08
824.7,-4.5500,-2.25
825.6,-4.4900,-2.08
826.1,-4.6900,-2.65
827.0,-4.7400,-2.79
827.4,-4.6700,-2.59
827.9,-4.4900,-2.08
829.8,-4.5000,-2.11
935.3,-3.0100,2.08
937.0,-3.0300,2.02
937.4,-2.9900,2.13
944.2,-4.5300,-2.20
944.7,-4.4700,-2.03
945.2,-4.4900,-2.08
1003.8,-4.5400,-2.22
1004.3,-4.5200,-2.17
1046.4,-3.0100,2.08
1048.5,-3.0100,2.08
1051.3,-3.0000,2.11
1052.0,-2.9900,2.13
1066.3,-2.8600,2.50
1067.0,-2.8300,2.58
1067.6,-3.0000,2.11
1068.1,-2.9900,2.13
1068.6,-2.8800,2.44
1069.1,-2.9400,2.27
1069.6,-2.8600,2.50
1070.2,-2.8100,2.64
1070.7,-2.9800,2.16
1071.3,-2.9900,2.13
1071.8,-3.0100,2.08
1072.8,-2.8500,2.53
1073.4,-2.8900,2.41
1073.9,-3.0200,2.05
1077.0,-2.9600,2.22
1077.6,-2.8600,2.50
1078.1,-2.8900,2.41
1078.6,-2.9400,2.27
1079.6,-2.9500,2.25
1080.1,-2.9900,2.13
1083.8,-2.9300,2.30
1084.3,-3.0300,2.02
1105.1,-4.6100,-2.42
1105.7,-4.6100,-2.42
1111.4,-4.4900,-2.08
1114.0,-4.7800,-2.90
1116.7,-4.8100,-2.98
1119.8,-4.5900,-2.36
1123.5,-4.5000,-2.11
1124.6,-4.5900,-2.36
1125.1,-4.5200,-2.17
1159.9,-4.7000,-2.67
1176.3,-4.4800,-2.05
1177.2,-4.7000,-2.67
1178.1,-4.4900,-2.08
1228.4,-4.5200,-2.17
1229.3,-4.6900,-2.65
1230.3,-4.7800,-2.90
1231.2,-4.7900,-2.93
1232.1,-4.6600,-2.56
1233.0,-4.5800,-2.34
1233.9,-4.5700,-2.31
1234.9,-4.6300,-2.48
1235.8,-4.7700,-2.87
1236.8,-4.5700,-2.31
1237.7,-4.6800,-2.62
1238.6,-4.5600,-2.28
1270.3,-4.6800,-2.62
1271.3,-4.6300,-2.48
1273.3,-4.8400,-3.07
1274.2,-5.0900,-3.77
1276.0,-4.5800,-2.34
1278.7,-4.6300,-2.48
1279.6,-4.6300,-2.48
1305.4,-4.5300,-2.20
1308.4,-4.5700,-2.31
1309.0,-4.5200,-2.17
1309.7,-4.4700,-2.03
1312.1,-4.4700,-2.03
1312.7,-4.4800,-2.05
1617.9,-2.9700,2.19
1629.9,-3.0300,2.02
1692.2,-4.5000,-2.11
1705.5,-4.7100,-2.70
1706.4,-4.5000,-2.11
1771.0,-3.0100,2.08
1789.7,-4.6900,-2.65
1801.9,-2.9900,2.13
1803.3,-3.0200,2.05
1803.7,-3.0300,2.02
1807.4,-2.7000,2.95
1810.7,-3.0000,2.11
1815.2,-4.4800,-2.05
1823.0,-4.4800,-2.05
1884.2,-2.9400,2.27
1884.7,-3.0100,2.08
2006.0,-2.9500,2.25
