sample_id,year_CE,d18O_measurement,z_score
167606,-6520.328001,-10.518,-1.0733749787253162
167605,-6479.796354,-10.448,-0.9496029073354781
167604,-6440.100006999999,-10.427,-0.9124712859185254
167603,-6399.57019,-10.371,-0.813453628806657
167602,-6359.310122999999,-10.495,-1.0327070124115099
167601,-6318.518206999999,-10.484,-1.0132571154788224
167600,-6278.454899,-10.45,-0.9531392522323286
167599,-6238.491349,-10.382,-0.8329035257393443
167598,-6197.990765,-10.343,-0.7639448002507211
167597,-6157.984161,-10.369,-0.8099172839098032
167596,-6117.553828,-10.11,-0.3519606197674038
167595,-6077.102477,-10.302,-0.6914497298652441
167594,-6036.660634,-10.35,-0.7763220073897042
167593,-5997.064934,-10.417,-0.8947895614342634
167592,-5957.051013,-10.358,-0.7904673869771158
167591,-5917.108673,-10.489,-1.0220979777209551
167590,-5876.990477,-10.585,-1.1918425327698752
167589,-5836.406176,-10.641,-1.2908601898817438
167588,-5796.715885,-10.492,-1.027402495066234
167587,-5756.579728,-10.411,-0.8841805267437054
167586,-5716.463592,-10.393,-0.8523534226720348
167585,-5676.292202,-10.501,-1.0433160471020677
167584,-5636.367621,-10.707,-1.4075595714778775
167583,-5515.485171,-10.604,-1.2254378092899711
167582,-5475.366635,-10.745,-1.4747501245180723
167581,-5435.592237,-10.619,-1.2519603960163659
167580,-5395.797797,-10.683,-1.3651234327156458
167579,-5355.351788,-10.589,-1.1989152225635795
167578,-5314.474776,-10.696,-1.388109674545187
167577,-5274.682551,-10.62,-1.2537285684647912
167576,-5234.030069,-10.472,-0.9920390460977065
167575,-5193.510359,-10.591,-1.20245156746043
167574,-5153.044758,-10.477,-1.0008799083398392
167573,-5112.90598,-10.307,-0.7002905921073768
167572,-5072.984308,-10.296,-0.6808406951746863
167571,-5032.718291,-10.496,-1.0344751848599383
167570,-4991.86338,-10.587,-1.1953788776667258
167569,-4952.124141,-10.623,-1.25903308581007
167568,-4911.946085,-10.583,-1.1883061878730214
167567,-4872.144121,-10.7,-1.3951823643388912
167566,-4831.681492,-10.647,-1.3014692245723016
167565,-4791.311273,-10.5,-1.0415478746536424
167564,-4750.326725,-10.51,-1.0592295991379046
167563,-4709.696654,-10.313,-0.7108996267979347
167562,-4669.338779,-10.499,-1.039779702205217
167561,-4629.370933,-10.539,-1.1105066001422657
167560,-4581.592963,-10.475,-0.9973435634429856
167559,-4534.485278,-10.503,-1.0468523919989214
167558,-4487.002143,-10.362,-0.7975400767708201
167557,-4439.872924,-10.42,-0.9000940787795423
167556,-4392.917774,-10.232,-0.5676776584754061
167555,-4345.0702,-10.293,-0.6755361778294073
167554,-4298.382325,-10.384,-0.836439870636198
167553,-4250.913721,-10.332,-0.7444949033180337
167552,-4203.381427,-10.288,-0.6666953155872778
167551,-4155.628016,-10.431,-0.9195439757122297
167550,-4108.061409,-10.176,-0.4686600013635376
167549,-4061.751806,-10.274,-0.6419409013093083
167548,-3967.333436,-10.271,-0.6366363839640324
167547,-3918.790881,-10.234,-0.5712140033722598
167546,-3870.3773229999997,-10.288,-0.6666953155872778
167545,-3822.767618,-10.254,-0.6065774523407841
167544,-3775.740309,-10.245,-0.5906639003049472
167543,-3729.0285480000002,-10.164,-0.44744193198242177
167542,-3682.595341,-10.393,-0.8523534226720348
167541,-3634.614015,-10.317,-0.717972316591639
167540,-3587.188303,-10.454,-0.960211942026036
167539,-3540.286462,-10.301,-0.6896815574168189
167538,-3493.195347,-10.141,-0.40677396566861856
167537,-3446.058973,-10.286,-0.6631589706904241
167536,-3399.251137,-10.303,-0.6932179023136725
167535,-3351.9925409999996,-10.232,-0.5676776584754061
167534,-3305.446446,-10.161,-0.4421374146371428
167533,-3258.2380430000003,-9.897,0.02466011174738614
167532,-3210.9326220000003,-9.962,-0.09027109740031926
167531,-3164.542128,-10.107,-0.3466561024221248
167530,-3117.2566909999996,-10.121,-0.3714105167000943
167529,-3070.8770699999995,-10.094,-0.32366986059258374
167528,-3022.514572,-9.599,0.5515755013784088
167527,-2975.366395,-10.012,-0.17867971982163303
167526,-2927.449151,-9.996,-0.150388960646813
167525,-2880.291005,-10.037,-0.22288403103228993
167524,-2832.3452559999996,-10.106,-0.34488792997369955
167523,-2785.602092,-9.83,0.14312766579194522
167522,-2738.6816209999997,-9.887,0.042341836231648264
167521,-2691.7135040000003,-9.912,-0.0018624749790086216
167520,-2576.5162680000003,-9.709,0.3570765320515223
167519,-2345.3654420000003,-9.893,0.031732801541090365
167518,-2230.589836,-9.658,0.44725332692126135
167517,-2115.742481,-9.683,0.4030490157106045
167516,-1998.961201,-9.563,0.6152297095217532
167515,-1976.095311,-9.631,0.4949939830287688
167514,-1951.4859689999998,-9.631,0.4949939830287688
167513,-1927.612287,-9.582,0.5816344330016542
167512,-1903.4055429999999,-9.637,0.4843849483382109
167511,-1880.9626039999998,-9.703,0.3676855667420802
167510,-1857.099886,-9.74,0.3022631861503075
167509,-1833.1749949999999,-9.665,0.4348761197822782
167508,-1808.505088,-9.592,0.563952708517392
167507,-1784.9386690000001,-9.607,0.5374301217910004
167506,-1760.369842,-9.547,0.6435204686965732
167505,-1735.810481,-9.462,0.793815126812806
167504,-1711.8155929999998,-9.553,0.6329114340060152
167503,-1687.319415,-9.472,0.7761334023285438
167502,-1664.412922,-9.35,0.9918504410365462
167501,-1640.658747,-9.371,0.9547188196195935
167500,-1615.9661809999998,-9.352,0.9883140961396925
167499,-1592.9915780000001,-9.42,0.8680783696467081
167498,-1569.1771199999998,-9.42,0.8680783696467081
167497,-1545.871287,-9.287,1.1032453052873978
167496,-1520.6153439999998,-9.293,1.092636270596843
167495,-1494.9283580000001,-9.246,1.1757403756728748
167494,-1471.811999,-9.31,1.0625773389735946
167493,-1448.157024,-9.255,1.159826823637038
167492,-1424.7683499999998,-9.295,1.0890999256999894
167491,-1401.2893949999998,-9.195,1.2659171705426138
167490,-1375.9918160000002,-9.3,1.0802590634578568
167489,-1351.634732,-9.309,1.064345511422023
167488,-1327.5031709999998,-9.338,1.013068510417662
167487,-1303.5603259999998,-9.313,1.0572728216283158
167486,-1279.5778599999999,-9.359,0.9759368890007093
167485,-1255.9959199999998,-9.375,0.9476461298258892
167484,-1232.1402779999999,-9.248,1.1722040307760242
167483,-1183.677651,-9.229,1.2057993072961233
167482,-1134.6471900000001,-9.325,1.036054752247203
167481,-1088.094776,-9.372,0.9529506471711683
167480,-1039.9468769999999,-9.218,1.2252492042288106
167479,-990.8022219999998,-9.155,1.3366440684796654
167478,-943.3953780000002,-9.098,1.4374298980399594
167477,-893.8334220000002,-8.994,1.621319832676291
167476,-846.1615350000002,-9.118,1.402066449071435
167475,-797.756253,-8.913,1.7645418009988165
167474,-749.5667779999999,-9.12,1.3985301041745846
167473,-701.9383229999999,-8.971,1.6619877989900942
167472,-679.5957870000002,-9.221,1.2199446868835317
167471,-658.6016650000001,-9.139,1.3649348276544855
167470,-635.450464,-9.243,1.1810448930181539
167469,-613.8871570000001,-9.069,1.4887068990443204
167468,-590.5336379999999,-9.066,1.4940114163895994
167467,-568.8151680000001,-9.134,1.373775689896615
167466,-547.2693880000002,-9.011,1.5912609010530459
167465,-524.8895459999999,-9.127,1.3861528970355983
167464,-503.1925689999998,-9.109,1.4179800011072718
167463,-482.91220699999985,-9.012,1.5894927286046174
167462,-461.84246600000006,-9.106,1.4232845184525509
167461,-440.97720200000003,-9.105,1.4250526909009762
167460,-420.9478640000002,-9.078,1.4727933470084866
167459,-400.0455529999999,-9.196,1.2641489980941887
167458,-377.4726300000002,-8.94,1.7168011448913092
167457,-357.2115349999999,-8.696,2.1482352223073136
